Time,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%]
1669915665,0,1,-87,87,8.6,3,40,1,0.0068,0,2.6,22,0,0.052,0
1669915666,0,1,-87,87,5.7,7,40,1,0.01,0,2.6,18,0,0.075,0
1669915667,0,1,-87,87,5.2,0,40,0,0,0,2.6,0,0,0,0
1669915668,0,1,-87,87,6.1,13,40,1,0.056,0,2.6,19,29,1.5,0
1669915669,0,1,-87,87,3,12,40,1,0.528,0,2.6,23,65,22,0
1669915670,0,1,-87,87,9,11,40,1,0.475,0,2.6,23,102,23,0
1669915671,0,1,-87,87,0.462,11,40,1,0.484,0,2.6,23,134,22,0
1669915672,0,1,-87,87,4,11,40,1,0.471,0,2.6,23,171,22,0
1669915673,0,1,-87,87,1.4,11,40,1,0.501,0,2.6,23,204,22,0
1669915674,0,1,-87,87,11,11,40,1,0.451,0,2.6,23,210,22,0
1669915675,0,1,-87,87,2.5,11,40,1,0.491,0,2.6,23,272,22,0
1669915676,0,1,-87,87,7,11,40,1,0.48,0,2.6,23,313,22,0
1669915677,0,1,-87,87,4.7,11,40,1,0.482,0,2.6,23,386,22,0
1669915678,0,1,-87,87,20,16,40,1,0.983,0,2.6,23,291,22,0
1669915679,0,1,-87,87,23,18,40,1,1.1,0,2.6,23,325,22,0
1669915680,0,1,-87,87,11,16,40,1,0.913,0,2.6,23,371,23,0
1669915681,0,1,-87,87,5.9,12,40,1,0.567,0,2.6,23,372,22,0
1669915682,0,1,-87,87,17,19,40,1,1.3,0,2.6,23,276,22,0
1669915683,0,1,-87,87,1.4,11,40,1,0.437,0,2.6,23,298,22,0
1669915684,0,1,-87,87,7.6,11,40,1,0.437,0,2.6,23,321,23,0
1669915685,0,1,-87,87,7.6,11,40,1,0.434,0,2.6,23,335,22,0
1669915686,0,1,-87,87,6.3,11,40,1,0.437,0,2.6,23,337,23,0
1669915687,0,1,-87,87,4.1,11,40,1,0.429,0,2.6,23,342,22,0
1669915688,0,1,-87,87,2.8,11,40,1,0.422,0,2.6,23,342,22,0
1669915689,0,1,-87,87,9.7,11,40,1,0.423,0,2.6,23,345,22,0
1669915690,0,1,-87,87,4,11,40,1,0.424,0,2.6,23,352,22,0
1669915691,0,1,-87,87,4,11,40,1,0.433,0,2.6,23,373,22,0
1669915692,0,1,-87,87,3.4,11,40,1,0.402,0,2.6,23,385,22,0
1669915693,0,1,-87,87,30,19,40,1,1.3,0,2.6,23,278,22,0
1669915694,0,1,-87,87,4.2,11,40,1,0.47,0,2.6,23,307,23,0
1669915695,0,1,-87,87,4.3,11,40,1,0.417,0,2.6,23,349,22,0
1669915696,0,1,-87,87,4,11,40,1,0.434,0,2.6,23,376,22,0
1669915697,0,1,-87,87,2.8,11,40,1,0.473,0,2.6,23,375,22,0
1669915698,0,1,-87,87,18,19,40,1,1.3,0,2.6,23,266,22,0
1669915699,0,1,-87,87,3.6,11,40,1,0.438,0,2.6,23,291,22,0
1669915700,0,1,-87,87,0.87,11,40,1,0.43,0,2.6,23,313,22,0
1669915701,0,1,-87,87,8.5,11,40,1,0.419,0,2.6,23,326,22,0
1669915702,0,1,-87,87,2.5,11,40,1,0.422,0,2.6,23,330,22,0
1669915703,0,1,-87,87,9.1,11,40,1,0.431,0,2.6,23,330,22,0
1669915704,0,1,-87,87,-0.371,11,40,1,0.436,0,2.6,23,327,22,0
1669915705,0,1,-87,87,-2.5,11,40,1,0.432,0,2.6,23,335,22,0
1669915706,0,1,-87,87,3.9,11,40,1,0.41,0,2.6,23,346,22,0
1669915707,0,1,-87,87,1.8,11,40,1,0.418,0,2.6,23,356,22,0
1669915708,0,1,-87,87,2.2,11,40,1,0.441,0,2.6,23,385,22,0
1669915709,0,1,-87,87,16,18,40,1,1.1,0,2.6,23,273,23,0
1669915710,0,1,-87,87,8.4,14,40,1,0.734,0,2.6,23,300,23,0
1669915711,0,1,-87,87,4.5,11,40,1,0.456,0,2.6,23,343,22,0
1669915712,0,1,-87,87,4.3,11,40,1,0.467,0,2.6,23,375,22,0
1669915713,0,1,-87,87,4.4,11,40,1,0.443,0,2.6,23,385,22,0
1669915714,0,1,-87,87,19,18,40,1,1.1,0,2.6,23,268,22,0
1669915715,0,1,-87,87,5.2,12,40,1,0.511,0,2.6,23,287,22,0
1669915716,0,1,-87,87,6.2,11,40,1,0.392,0,2.6,23,312,21,0
1669915717,0,1,-87,87,8.4,13,40,1,0.321,0,2.6,23,305,20,0
1669915718,0,1,-87,87,7.8,13,40,1,0.325,0,2.6,23,315,20,0
1669915719,0,1,-87,87,2.9,14,40,1,0.256,0,2.6,23,302,19,0
1669915720,0,1,-87,87,5.9,15,40,1,0.247,0,2.6,23,278,18,0
1669915721,0,1,-87,87,8.9,13,40,1,0.235,0,2.6,23,333,18,0
1669915722,0,1,-87,87,6.4,14,40,1,0.228,0,2.6,23,335,17,0
1669915723,0,1,-87,87,6.2,15,40,1,0.227,0,2.6,23,346,18,0
1669915724,0,1,-87,87,4.9,15,40,1,0.253,0,2.6,22,368,17,0
1669915725,0,1,-87,87,8.6,15,40,1,0.398,0,2.6,22,346,17,0
1669915726,0,1,-87,87,9,20,40,1,0.939,0,2.6,21,281,16,0
1669915727,0,1,-87,87,7.4,15,40,1,0.281,0,2.6,21,314,16,0
1669915728,0,1,-87,87,5.8,14,40,1,0.204,0,2.6,20,342,15,0
1669915729,0,1,-87,87,8.1,13,40,1,0.192,0,2.6,19,383,15,0
1669915730,0,1,-87,87,8,13,40,1,0.194,0,2.6,18,372,14,0
1669915731,0,1,-87,87,3.3,17,40,1,0.8,0,2.6,18,277,15,0
1669915732,0,1,-87,87,6.6,15,40,1,0.594,0,2.6,16,280,13,0
1669915733,0,1,-87,87,4,12,40,1,0.184,0,2.6,16,304,12,0
1669915734,0,1,-87,87,6.4,12,40,1,0.219,0,2.6,16,321,13,0
1669915735,0,1,-87,87,2.8,11,40,1,0.189,0,2.6,14,329,12,0
1669915736,0,1,-87,87,4.7,12,40,1,0.191,0,2.6,15,343,12,0
1669915737,0,1,-87,87,3.3,12,40,1,0.191,0,2.6,14,345,10,0
1669915738,0,1,-87,87,4.9,11,40,1,0.152,0,2.6,12,340,9.3,0
1669915739,0,1,-87,87,7,12,40,1,0.134,0,2.6,11,347,7.9,0
1669915740,0,1,-87,87,4.6,11,40,1,0.152,0,2.6,12,359,8.9,0
1669915741,0,1,-87,87,6.2,12,40,1,0.14,0,2.6,11,378,7.9,0
1669915742,0,1,-87,87,5.6,12,40,1,0.144,0,2.6,11,380,8,0
1669915743,0,1,-87,87,7.5,11,40,1,0.138,0,2.6,9,384,6.5,0
1669915744,0,1,-87,87,5.8,13,40,1,0.296,0,2.6,9,345,6.3,0
1669915745,0,1,-87,87,4.6,15,40,1,0.406,0,2.6,9,287,6.7,0
1669915746,0,1,-86,86,6.4,14,40,1,0.354,0,2.6,7,314,5.4,0
1669915747,0,1,-84,84,2.6,14,40,1,0.404,0,2.6,7,317,5.8,0
1669915748,0,1,-84,84,8.9,12,40,1,0.181,0,2.6,7,277,5.3,0
1669915749,0,1,-84,84,6.4,11,40,1,0.116,0,2.6,6,235,4.7,0
1669915750,0,1,-84,84,7.6,11,40,1,0.101,0,2.6,5,223,4,0
1669915751,0,1,-84,84,3.5,11,40,1,0.092,0,2.6,4,234,3.2,0
1669915752,0,1,-84,84,8.3,12,40,1.2,0.073,6,2.6,4,240,2.9,6
1669915753,0,1,-84,84,4.7,11,40,1.8,0.096,21,2.6,5,255,3.9,21
1669915754,0,1,-84,84,6.7,11,40,1,0.071,0,2.6,4,263,2.8,0
1669915755,0,1,-84,84,7.2,10,40,2.9,0.038,60,2.6,2,266,2.2,60
1669915756,0,1,-84,84,6,11,40,1,0.077,0,2.6,3,271,2.4,0
1669915757,0,1,-84,84,6.3,11,40,1,0.069,0,2.6,2,273,2,0
1669915758,0,1,-84,84,4.9,11,40,1,0.074,0,2.6,3,281,2.3,0
1669915759,0,1,-84,84,8.2,11,40,1,0.082,0,2.6,3,297,2.5,0
1669915760,0,1,-84,84,7.4,10,40,2,0.06,27,2.6,3,304,2.4,27
1669915761,0,1,-84,84,6.9,10,40,2.6,0.043,43,2.6,1,345,1.5,43
1669915762,0,1,-84,84,6.1,9,40,1,0.065,0,2.1,2,366,1.6,0
1669915763,0,1,-84,84,7.4,11,40,1,0.061,0,2.1,1,385,1.5,0
1669915764,0,1,-84,84,7.6,11,40,1,0.047,0,2.1,4,382,1.6,0
1669915765,0,1,-84,84,6.9,14,40,1,0.125,0,2.1,1,377,1.2,0
1669915766,0,1,-84,84,9.1,12,40,1.8,0.081,18,2.1,3,363,1.2,18
1669915767,0,1,-84,84,5.4,7,40,2.3,0.15,30,2.1,4,349,1.4,30
1669915768,0,1,-84,84,4.7,15,40,2.2,0.119,25,2.1,2,327,1.4,25
1669915769,0,1,-84,84,4.5,15,40,1,0.14,0,2.1,2,315,1.2,0
1669915770,0,1,-84,84,5.8,11,40,1,0.156,0,2.1,2,304,1.3,0
1669915771,0,1,-84,84,7,10,40,1,0.112,0,3.1,1,293,0.88,0
1669915772,0,1,-84,84,6.8,13,40,1,0.108,0,2.1,2,285,0.915,0
1669915773,0,1,-84,84,6.9,9,40,0.6,0.113,29,2.1,2,268,1.1,29
1669915774,0,1,-84,84,7.7,9,40,1,0.136,0,2.1,1,259,0.96,0
1669915775,0,1,-84,84,4.7,13,40,1,0.064,0,2.1,1,253,0.882,0
1669915776,0,1,-84,84,4.8,12,40,1.8,0.087,10,2.1,3,285,0.93,10
1669915777,0,1,-84,84,6.6,14,40,1.5,0.178,7,2.1,2,285,1.2,7
1669915778,0,1,-84,84,5.1,10,40,2.7,0.082,36,3.1,2,275,0.914,36
1669915779,0,1,-84,84,5.7,12,40,1,0.092,0,2.1,1,277,0.936,0
1669915780,0,1,-84,84,5.4,10,40,1,0.053,0,2.1,3,268,0.752,0
1669915781,0,1,-84,84,6.5,13,40,2.2,0.045,31,2.1,2,257,0.969,31
1669915782,0,1,-84,84,7.3,10,40,1,0.12,0,3.1,2,253,0.768,0
1669915783,0,1,-84,84,6.9,5,40,0.7,0.046,16,2.1,2,243,0.784,16
1669915784,0,1,-84,84,6.4,11,40,1,0.042,0,3.1,9,232,0.707,0
1669915785,0,1,-84,84,6.6,10,40,2.7,0.018,44,2.1,2,216,0.682,44
1669915786,0,1,-84,84,7.6,5,40,1,0.039,0,2.6,2,203,0.58,0
1669915787,0,1,-84,84,5,14,40,1,0.03,0,2.6,4,205,0.652,0
1669915788,0,1,-84,84,6.3,9,40,1,0.059,0,2.6,4,189,1.1,0
1669915789,0,1,-84,84,5,14,40,1,0.062,0,2.6,1,177,0.716,0
1669915790,0,1,-84,84,3.7,16,40,1,0.038,0,2.6,2,166,0.659,0
1669915791,0,1,-84,84,5.5,8,40,1,0.035,0,2.6,13,161,0.568,0
1669915792,0,1,-84,84,4.4,8,40,1,0.025,0,2.6,4,145,0.618,0
1669915793,0,1,-84,84,5.4,13,40,3.2,0.016,37,2.6,2,130,0.576,37
1669915794,0,1,-84,84,4.5,10,40,1,0.019,0,2.6,3,120,0.519,0
1669915795,0,1,-84,84,4.9,0,40,0,0,0,2.6,3,103,0.546,0
1669915796,0,1,-84,84,4,14,40,1,0.02,0,2.6,3,88,0.614,0
1669915797,0,1,-84,84,5.7,14,40,1,0.012,0,2.6,1,77,0.505,0
1669915798,0,1,-84,84,4.9,0,40,0,0,0,2.6,4,59,0.557,0
1669915799,0,1,-84,84,4.9,4,40,1,0.0066,0,2.6,1,42,0.556,0
1669915800,0,1,-84,84,5.5,14,40,1,0.018,0,2.6,8,26,0.62,0
1669915801,0,1,-84,84,4.2,0,40,0,0,0,2.6,3,9.2,0.502,0
1669915802,0,1,-84,84,6,0,40,1,0.0017,0,2.6,7,0,0.314,0
1669915803,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915804,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915805,0,1,-84,84,4.9,0,40,0,0,0,2.6,0,0,0,0
1669915806,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915807,0,1,-84,84,4.9,0,40,0,0,0,2.6,0,0,0,0
1669915808,0,1,-84,84,4.9,0,40,0,0,0,2.6,0,0,0,0
1669915809,0,1,-84,84,4.7,0,40,0,0,0,2.6,0,0,0,0
1669915810,0,1,-84,84,4.9,0,40,0,0,0,2.6,0,0,0,0
1669915811,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915812,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915813,0,1,-84,84,5.3,0,40,0,0,0,2.6,0,0,0,0
1669915814,0,1,-84,84,4.8,0,40,0,0,0,2.6,0,0,0,0
1669915815,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915816,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915817,0,1,-84,84,5,14,40,1,0.0028,0,2.6,21,0,0.086,0
1669915818,0,1,-84,84,5.4,0,40,0,0,0,2.6,0,0,0,0
1669915819,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915820,0,1,-84,84,4.8,0,40,0,0,0,2.6,0,0,0,0
1669915821,0,1,-84,84,4.9,0,40,0,0,0,2.6,0,0,0,0
1669915822,0,1,-84,84,4.7,0,40,0,0,0,2.6,0,0,0,0
1669915823,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915824,0,1,-84,84,4.8,0,40,0,0,0,2.6,0,0,0,0
1669915825,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915826,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915827,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915828,0,1,-84,84,5.2,0,40,0,0,0,2.6,0,0,0,0
1669915829,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915830,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915831,0,1,-84,84,5.4,0,40,0,0,0,2.6,0,0,0,0
1669915832,0,1,-84,84,5.1,14,40,1,0.0028,0,2.6,21,0,0.069,0
1669915833,0,1,-84,84,5.3,0,40,0,0,0,2.6,23,0,0.017,0
1669915834,0,1,-84,84,4.9,0,40,0,0,0,2.6,0,0,0,0
1669915835,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915836,0,1,-84,84,5.3,0,40,0,0,0,2.6,0,0,0,0
1669915837,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915838,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915839,0,1,-84,84,4.8,0,40,0,0,0,2.6,0,0,0,0
1669915840,0,1,-84,84,5.2,0,40,0,0,0,2.6,0,0,0,0
1669915841,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915842,0,1,-84,84,4.9,0,40,0,0,0,2.6,0,0,0,0
1669915843,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915844,0,1,-84,84,4.8,0,40,0,0,0,2.6,0,0,0,0
1669915845,0,1,-84,84,5.2,0,40,0,0,0,2.6,0,0,0,0
1669915846,0,1,-84,84,5.2,14,40,1,0.0028,0,2.6,20,0,0.085,0
1669915847,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915848,0,1,-84,84,4.8,0,40,0,0,0,2.6,0,0,0,0
1669915849,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915850,0,1,-84,84,4.9,0,40,0,0,0,2.6,0,0,0,0
1669915851,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915852,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915853,0,1,-84,84,4.8,0,40,0,0,0,2.6,0,0,0,0
1669915854,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915855,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915856,0,1,-84,84,5.4,0,40,0,0,0,2.6,0,0,0,0
1669915857,0,1,-84,84,4.9,0,40,0,0,0,2.6,0,0,0,0
1669915858,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915859,0,1,-84,84,5,0,40,0,0,0,2.6,22,0,0.015,0
1669915860,0,1,-84,84,5.1,14,40,1,0.003,0,2.6,21,0,0.074,0
1669915861,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915862,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915863,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915864,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915865,0,1,-84,84,5.4,0,40,0,0,0,2.6,0,0,0,0
1669915866,0,1,-84,84,5.5,0,40,0,0,0,2.6,0,0,0,0
1669915867,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915868,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915869,0,1,-84,84,5.2,0,40,0,0,0,2.6,0,0,0,0
1669915870,0,1,-84,84,4.9,0,40,0,0,0,2.6,0,0,0,0
1669915871,0,1,-84,84,5.5,0,40,0,0,0,2.6,0,0,0,0
1669915872,0,1,-84,84,5.4,14,40,1,0.0091,0,2.6,20,3,0.173,0
1669915873,0,1,-84,84,5.1,14,40,1,0.081,0,2.6,3,5.6,0.875,0
1669915874,0,1,-84,84,6.4,13,40,1,0.05,0,2.6,8,0,0.748,0
1669915875,0,1,-84,84,5,0,40,0,0,0,2.6,17,0,0.12,0
1669915876,0,1,-84,84,5.2,0,40,0,0,0,2.6,0,0,0,0
1669915877,0,1,-84,84,5.2,0,40,0,0,0,2.6,0,0,0,0
1669915878,0,1,-84,84,5.2,0,40,0,0,0,2.6,0,0,0,0
1669915879,0,1,-84,84,5.2,0,40,0,0,0,2.6,0,0,0,0
1669915880,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915881,0,1,-84,84,4.8,0,40,0,0,0,2.6,0,0,0,0
1669915882,0,1,-84,84,5.3,0,40,0,0,0,2.6,0,0,0,0
1669915883,0,1,-84,84,5.1,0,40,0,0,0,2.6,18,963,0,0
1669915884,0,1,-84,84,4.7,13,40,1,0.0025,0,2.6,21,0,0.151,0
1669915885,0,1,-84,84,5.2,0,40,0,0,0,2.6,0,0,0,0
1669915886,0,1,-84,84,4.9,0,40,0,0,0,2.6,0,0,0,0
1669915887,0,1,-84,84,4.6,0,40,0,0,0,2.6,0,0,0,0
1669915888,0,1,-84,84,5.2,0,40,0,0,0,2.6,0,0,0,0
1669915889,0,1,-84,84,4.8,0,40,0,0,0,2.6,0,0,0,0
1669915890,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915891,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915892,0,1,-84,84,4.8,0,40,0,0,0,2.6,0,0,0,0
1669915893,0,1,-84,84,5,13,40,1,0.0025,0,2.6,16,3,0.051,0
1669915894,0,1,-84,84,6.7,15,40,1,0.046,0,2.6,21,2.1,1.5,0
1669915895,0,1,-84,84,5.4,7,40,2.3,0.02,50,2.6,15,0,0.888,50
1669915896,0,1,-84,84,5,0,40,0,0,0,2.6,0,0,0,0
1669915897,0,1,-84,84,5.3,0,40,0,0,0,2.6,0,0,0,0
1669915898,0,1,-84,84,4.9,0,40,0,0,0,2.6,0,0,0,0
1669915899,0,1,-84,84,5.3,0,40,0,0,0,2.6,0,0,0,0
1669915900,0,1,-84,84,4.5,0,40,0,0,0,2.6,0,0,0,0
1669915901,0,1,-84,84,5.2,0,40,0,0,0,2.6,0,0,0,0
1669915902,0,1,-84,84,5.1,0,40,0,0,0,2.6,0,0,0,0
1669915903,0,1,-84,84,5.2,0,40,0,0,0,2.6,7,963,0,0
1669915904,0,1,-84,84,5.4,12,40,1,0.059,0,2.6,16,3.1,1.7,0
1669915905,0,1,-84,84,5.4,11,40,1,0.064,0,2.6,19,9.9,3.3,0
1669915906,0,1,-84,84,6.2,11,40,1,0.06,0,2.6,21,18,5.3,0
1669915907,0,1,-84,84,3.5,11,40,1,0.107,0,2.6,15,20,7.1,0
1669915908,0,1,-84,84,1.2,8,40,1,0.153,0,2.6,13,38,9.2,0
1669915909,0,1,-84,84,4.3,10,40,1,0.164,0,2.6,12,82,9,0
1669915910,0,1,-84,84,2.4,11,40,1,0.16,0,2.6,13,125,9.5,0
1669915911,0,1,-84,84,8,11,40,1,0.158,0,2.6,13,204,9.3,0
1669915912,0,1,-84,84,5.7,11,40,1,0.155,0,2.6,13,297,9.6,0
1669915913,0,1,-84,84,5,10,40,1,0.171,0,2.6,11,385,8.6,0
1669915914,0,1,-84,84,8.5,10,40,1,0.154,0,2.6,11,383,8.1,0
1669915915,0,1,-84,84,4,12,40,1,0.329,0,2.6,12,346,8.7,0
1669915916,0,1,-84,84,2.8,13,40,1,0.504,0,2.6,11,315,8.2,0
1669915917,0,1,-84,84,3.5,13,40,1,0.56,0,2.6,12,385,9,0
1669915918,0,1,-84,84,2.1,12,40,1,0.31,0,2.6,9,371,6.6,0
1669915919,0,1,-84,84,5.9,13,40,1,0.54,0,2.6,12,294,8.8,0
1669915920,0,1,-84,84,5.7,12,40,1,0.522,4,2.6,12,275,9.2,4
